gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold70:hit:265585	4.2	1.24	1.58	1.7	0	2.45	0.68	3.43	2
scaffold7:hit:85603	230.73	187.93	188.71	225.94	218.22	147.72	192.75	186.55	188.38
scaffold7:hit:85594	0	0	0	0	0	0	0	0	0
scaffold7:hit:85546	0	0.71	0	1.08	0.9	0.1	0.41	0.62	0.18
scaffold7:hit:85420	14.61	9.8	13.26	16.51	10.07	9.88	4.89	12.85	10.24
scaffold7:hit:85419	0.53	0	0.5	0	0	0	0	0.58	0.52
scaffold7:hit:85323	0	0	0	0	0	0	0.16	0	0
scaffold7:hit:85302	0.08	3.34	1.41	4.18	10.57	4.38	6.17	16.73	7.72
scaffold7:hit:85186	44.03	41.78	32.86	37.57	37.73	33.35	31.29	26.51	39.38
scaffold7:hit:85185	28.95	31.03	32.02	35.85	39.93	29.14	27.66	33.72	38.14
scaffold7:hit:85095	1.23	1.94	2.41	1.87	2.99	2.91	2.07	4.37	3.43
scaffold7:hit:85006	0	0	0	0	0	0	0	0	0
scaffold7:hit:84998	0.28	29.47	14.13	32.53	80.95	33.61	53.38	145.89	69.78
scaffold7:hit:84991	0	3.91	2.92	5.63	6.01	6.42	6.42	20.95	15.06
scaffold7:hit:84859	17.43	17.97	17.55	22.56	24.25	20.81	15.35	16.29	19.91
scaffold7:hit:84853	0.63	1.01	0.29	0.41	1.64	0.52	0.47	2.49	0.38
scaffold7:hit:84830	787.71	795.46	762.53	897.03	843.34	703.1	718.51	809.83	712.23
scaffold7:hit:84595	0	11.54	6.2	11.07	27.04	12.69	17.37	50.2	25.68
scaffold7:hit:84594	0.04	4.41	2.99	5.02	14.24	5.69	8.05	21.83	11.81
scaffold69:hit:264938	10.17	6.41	7.16	5.54	8.05	5.54	6.09	8.72	11
scaffold69:hit:264935	6.19	16.94	8.22	7.38	11.86	9.24	2.02	10.42	10.5
scaffold69:hit:264934	10.83	19.2	15.02	12.66	6.72	8.88	11.05	15.91	21.72
scaffold69:hit:264772	0.27	0	0.13	0	0	0	0	0	0
scaffold68:hit:263583	0	0	0	0	0	0	0	0	0
scaffold68:hit:263537	0	4.55	2.8	4.44	9.36	6.44	11.41	10.93	15.82
scaffold68:hit:263312	29.51	26.99	23.63	25.35	25.19	22.99	26.54	25.66	28.38
scaffold67:hit:261660	0.99	0.42	1.89	0.96	0.79	0.91	0.37	0.72	1.61
